Ciclo 0126 | Temp:   15.60 | Melhor Custo: 2115.0 | Tempo Decorrido: 0.0788s
Ciclo 0127 | Temp:   14.82 | Melhor Custo: 2115.0 | Tempo Decorrido: 0.0794s
Ciclo 0128 | Temp:   14.08 | Melhor Custo: 2087.0 | Tempo Decorrido: 0.0801s
Ciclo 0129 | Temp:   13.38 | Melhor Custo: 2087.0 | Tempo Decorrido: 0.0806s
Ciclo 0130 | Temp:   12.71 | Melhor Custo: 2087.0 | Tempo Decorrido: 0.0812s
Ciclo 0131 | Temp:   12.07 | Melhor Custo: 2070.0 | Tempo Decorrido: 0.0823s
Ciclo 0132 | Temp:   11.47 | Melhor Custo: 2070.0 | Tempo Decorrido: 0.0829s
Ciclo 0133 | Temp:   10.90 | Melhor Custo: 2070.0 | Tempo Decorrido: 0.0835s
Ciclo 0134 | Temp:   10.35 | Melhor Custo: 2070.0 | Tempo Decorrido: 0.0841s
Ciclo 0135 | Temp:    9.83 | Melhor Custo: 2070.0 | Tempo Decorrido: 0.0846s
Ciclo 0136 | Temp:    9.34 | Melhor Custo: 2068.0 | Tempo Decorrido: 0.0852s
Ciclo 0137 | Temp:    8.87 | Melhor Custo: 2068.0 | Tempo Decorrido: 0.0857s
Ciclo 0138 | Temp:    8.43 | Melhor Custo: 2068.0 | Tempo Decorrido: 0.0863s
Ciclo 0139 | Temp:    8.01 | Melhor Custo: 2068.0 | Tempo Decorrido: 0.0868s
Ciclo 0140 | Temp:    7.61 | Melhor Custo: 2068.0 | Tempo Decorrido: 0.0873s
Ciclo 0141 | Temp:    7.23 | Melhor Custo: 2068.0 | Tempo Decorrido: 0.0878s
Ciclo 0142 | Temp:    6.87 | Melhor Custo: 2039.0 | Tempo Decorrido: 0.0883s
Ciclo 0143 | Temp:    6.52 | Melhor Custo: 2039.0 | Tempo Decorrido: 0.0888s
Ciclo 0144 | Temp:    6.20 | Melhor Custo: 2039.0 | Tempo Decorrido: 0.0894s
Ciclo 0145 | Temp:    5.89 | Melhor Custo: 2039.0 | Tempo Decorrido: 0.0899s
Ciclo 0146 | Temp:    5.59 | Melhor Custo: 2039.0 | Tempo Decorrido: 0.0904s
Ciclo 0147 | Temp:    5.31 | Melhor Custo: 2039.0 | Tempo Decorrido: 0.0909s
Ciclo 0148 | Temp:    5.05 | Melhor Custo: 2039.0 | Tempo Decorrido: 0.0915s
Ciclo 0149 | Temp:    4.80 | Melhor Custo: 2039.0 | Tempo Decorrido: 0.0920s
Ciclo 0150 | Temp:    4.56 | Melhor Custo: 2039.0 | Tempo Decorrido: 0.0925s
Ciclo 0151 | Temp:    4.33 | Melhor Custo: 2034.0 | Tempo Decorrido: 0.0930s
Ciclo 0152 | Temp:    4.11 | Melhor Custo: 2034.0 | Tempo Decorrido: 0.0935s
Ciclo 0153 | Temp:    3.91 | Melhor Custo: 2034.0 | Tempo Decorrido: 0.0940s
Ciclo 0154 | Temp:    3.71 | Melhor Custo: 2034.0 | Tempo Decorrido: 0.0945s
Ciclo 0155 | Temp:    3.52 | Melhor Custo: 2034.0 | Tempo Decorrido: 0.0950s
Ciclo 0156 | Temp:    3.35 | Melhor Custo: 2034.0 | Tempo Decorrido: 0.0955s
Ciclo 0157 | Temp:    3.18 | Melhor Custo: 2034.0 | Tempo Decorrido: 0.0960s
Ciclo 0158 | Temp:    3.02 | Melhor Custo: 2034.0 | Tempo Decorrido: 0.0966s
Ciclo 0159 | Temp:    2.87 | Melhor Custo: 2034.0 | Tempo Decorrido: 0.0971s
Ciclo 0160 | Temp:    2.73 | Melhor Custo: 2034.0 | Tempo Decorrido: 0.0977s
